INDV1 INDV2 Ajk
ser_bal_002 ser_bal_138 -0.003
ser_bal_002 ser_bal_139 -0.003
ser_bal_002 ser_bal_140 -0.001
ser_bal_002 ser_bal_141 0.01
ser_bal_002 ser_bal_142 -0.003
ser_bal_002 ser_bal_143 0.002
ser_bal_002 ser_bal_144 -0.004
ser_bal_002 ser_bal_145 0.007
ser_bal_002 ser_bal_146 0.009
ser_bal_002 ser_bal_147 0.012
ser_bal_002 ser_bal_148 0.003
ser_bal_002 ser_bal_149 0.021
ser_bal_002 ser_bal_150 0.005
ser_bal_002 ser_bal_151 -0.005
ser_bal_002 ser_bal_152 -0.002
ser_bal_002 ser_bal_153 0
ser_bal_002 ser_bal_154 -0.002
ser_bal_002 ser_bal_155 0.006
ser_bal_002 ser_bal_156 0.005
ser_bal_002 ser_bal_157 0.003
ser_bal_002 ser_bal_158 -0.018
ser_bal_002 ser_bal_159 0.012
ser_bal_002 ser_bal_160 -0.006
ser_bal_002 ser_bal_161 0.003
ser_bal_002 ser_bal_162 0.002
ser_bal_002 ser_bal_163 0.012
ser_bal_002 ser_bal_164 0.014
ser_bal_002 ser_bal_165 0.001
ser_bal_002 ser_bal_166 0.017
ser_bal_002 ser_bal_167 0.003
ser_bal_002 ser_bal_168 0.005
ser_bal_002 ser_bal_169 -0.001
ser_bal_002 ser_bal_170 0.004
ser_bal_002 ser_bal_171 0.012
ser_bal_002 ser_bal_172 0.015
ser_bal_002 ser_bal_173 0.002
ser_bal_002 ser_bal_174 0.002
ser_bal_002 ser_bal_175 0.01
ser_bal_002 ser_bal_176 0.003
ser_bal_002 ser_bal_178 0.003
ser_bal_002 ser_bal_179 0.005
ser_bal_002 ser_bal_180 0.001
ser_bal_002 ser_bal_181 -0.003
ser_bal_002 ser_bal_182 0.004
ser_bal_002 ser_bal_183 0.001
ser_bal_002 ser_bal_184 0.008
ser_bal_002 ser_bal_185 0.001
ser_bal_002 ser_bal_186 0.018
ser_bal_002 ser_bal_187 0
ser_bal_002 ser_bal_188 -0.001
ser_bal_002 ser_bal_189 -0.007
ser_bal_002 ser_bal_190 0.009
ser_bal_002 ser_bal_191 0.01
ser_bal_002 ser_bal_192 0.001
ser_bal_002 ser_bal_193 0.008
ser_bal_002 ser_bal_194 0
ser_bal_002 ser_bal_195 0.022
ser_bal_002 ser_bal_196 -0.003
ser_bal_002 ser_bal_197 0.013
ser_bal_002 ser_bal_198 0.003
ser_bal_002 ser_bal_199 -0.002
ser_bal_002 ser_bal_200 0.006
ser_bal_002 ser_bal_201 0.012
ser_bal_002 ser_bal_202 -0.005
ser_bal_002 ser_bal_203 -0.014
ser_bal_002 ser_bal_204 0.019
ser_bal_002 ser_bal_205 0.005
ser_bal_002 ser_fra_028 0.001
ser_bal_002 ser_fra_029 0.017
ser_bal_002 ser_fra_030 -0.002
ser_bal_002 ser_fra_031 0.014
ser_bal_002 ser_fra_032 0.021
ser_bal_002 ser_fra_033 0.006
ser_bal_002 ser_fra_034 -0.008
ser_bal_002 ser_fra_035 0.006
ser_bal_002 ser_fra_036 0.002
ser_bal_002 ser_fra_037 0.011
ser_bal_002 ser_fra_038 0.004
ser_bal_002 ser_fra_039 0.003
ser_bal_002 ser_fra_040 0.008
ser_bal_002 ser_fra_041 0.014
ser_bal_002 ser_fra_042 0.007
ser_bal_002 ser_fra_043 0.003
ser_bal_002 ser_fra_044 0.002
ser_bal_002 ser_fra_045 -0.003
ser_bal_002 ser_fra_046 0.017
ser_bal_002 ser_fra_047 -0.001
ser_bal_002 ser_fra_048 -0.007
ser_bal_002 ser_fra_049 0.008
ser_bal_002 ser_fra_050 0.014
ser_bal_002 ser_fra_051 0.021
ser_bal_002 ser_fra_052 -0.001
ser_bal_002 ser_fra_053 0.016
